Date,Open,High,Low,Close,Volume
2015-07-13,100.686,101.679,100.676,101.6,27800748
2015-07-14,101.728,102.529,101.679,102.258,23699185
2015-07-15,102.453,102.756,102.089,102.375,30870429
2015-07-16,103.216,103.824,103.012,103.804,32176925
2015-07-17,104.629,105.325,104.451,105.325,38741843
2015-07-20,105.561,106.051,105.215,105.685,28618463
2015-07-21,105.715,105.883,105.315,105.627,38247957
2015-07-22,104.011,104.953,104.011,104.422,38362367
2015-07-23,104.51,104.885,103.774,104.04,27711782
2015-07-24,104.589,104.786,102.875,103.031,33261537
2015-07-27,102.453,102.895,101.97,102.188,38815170
2015-07-28,102.617,103.255,101.825,103.061,36182477
2015-07-29,103.274,103.677,102.885,103.454,28807174
2015-07-30,103.216,104.108,102.568,103.944,27431191
2015-07-31,104.267,104.306,103.619,103.814,23811913
2015-08-03,103.834,104.118,102.805,103.502,26960797
2015-08-04,103.454,103.647,102.875,103.294,23866475
2015-08-05,103.874,104.786,103.746,104.089,31261295
2015-08-06,104.188,104.315,101.98,102.434,45415111
2015-08-07,102.188,102.529,101.462,102.307,32357981
2015-08-10,102.955,103.687,102.945,103.473,23185385
2015-08-11,102.925,103.314,101.591,102.158,38940010
2015-08-12,101.442,102.687,100.354,102.491,45171104
2015-08-13,102.578,103.089,102.118,102.336,24274310
2015-08-14,102.098,102.617,101.894,102.481,19329404
2015-08-17,102.238,103.364,101.99,103.334,22887974
2015-08-18,103.206,103.274,102.657,102.805,15080039
2015-08-19,102.491,103.041,101.551,102.148,45842270
2015-08-20,101.197,101.521,99.2852,99.2952,62272088
2015-08-21,97.8743,98.7464,94.9646,94.9646,105423647
2015-08-24,87.3829,95.0912,78.5846,91.304,162648213
2015-08-25,94.6491,95.2942,90.8877,90.9632,80971733
2015-08-26,93.6089,95.744,91.7405,95.5568,112260852
2015-08-27,96.9371,98.0115,95.7833,97.9429,74813679
2015-08-28,97.4311,98.2962,97.2399,97.9233,53831051
2015-08-31,97.3949,97.9133,96.4919,96.7353,42648183
2015-09-01,94.3087,95.7931,93.317,93.6933,78887602
2015-09-02,95.4283,96.3616,94.2991,96.342,47408260
2015-09-03,96.7353,97.3851,95.6235,95.8715,48667990
2015-09-04,94.5548,95.399,94.1932,94.7343,53248738
2015-09-08,96.5497,97.5096,96.152,97.4047,40269547
2015-09-09,98.5607,98.5901,96.0645,96.3028,50840878
2015-09-10,96.1999,97.9819,96.0843,97.3557,51416869
2015-09-11,96.9272,97.8743,96.6361,97.8743,31386597
2015-09-14,98.2568,98.2766,97.2399,97.5901,21263865
2015-09-15,97.8056,99.0704,97.4606,98.7663,32372434
2015-09-16,98.7859,99.3937,98.4231,99.3051,33783889
2015-09-17,99.1961,100.816,98.9134,99.3447,60538638
2015-09-18,97.7958,99.11,97.7467,97.9133,52048384
2015-09-21,98.4721,99.0608,97.3461,98.2374,38481932
2015-09-22,96.7353,97.0744,95.8715,96.7744,50946505
2015-09-23,97.0352,97.2883,96.3322,96.849,23424294
2015-09-24,95.9008,96.8586,95.0814,96.4919,41140758
2015-09-25,97.5096,97.5998,95.0912,95.6891,48085472
2015-09-28,95.2843,95.3511,92.6707,92.9521,47415793
2015-09-29,93.1765,94.1158,91.7982,92.4669,53050540
2015-09-30,93.7795,94.6969,93.412,94.5923,44547801
2015-10-01,94.7625,95.0453,93.4961,95.0353,42318553
2015-10-02,93.6933,96.6871,93.4021,96.6871,63867404
2015-10-05,97.3949,98.3356,97.1909,98.0603,35334987
2015-10-06,97.8154,98.1586,96.849,97.5998,35554742
2015-10-07,98.2175,98.4033,96.947,98.1878,40221078
2015-10-08,97.7958,98.7663,96.8783,98.5901,53989983
2015-10-09,98.6391,99.2061,98.3551,99.041,25718308
2015-10-12,99.2061,99.4523,98.8836,99.2653,17385352
2015-10-13,98.7169,99.6975,98.541,98.6391,29044486
2015-10-14,98.6391,99.1397,98.0507,98.4721,33243092
